|Run	|Epoch	#SSE	#AvgSSE	#PctErr	#PctCor	#CosDiff	#Mem	#TrgOnWasOff	#TrgOffWasOn	#ECin ActAvg	#DG ActAvg	#CA3 ActAvg	#CA1 ActAvg
0	0	39.57	0.2748	1	0	0.05477	0	0.7639	0.1884	0.2256	0.0139	0.05672	0.08178
0	1	14.56	0.1011	1	0	0.6625	0	0.3222	0.06944	0.2286	0.01569	0.07006	0.0798
0	2	11.33	0.07869	1	0	0.7397	0	0.2514	0.05463	0.2309	0.01739	0.08278	0.07879
0	3	8.789	0.06104	1	0	0.7989	0	0.1917	0.0463	0.2327	0.01907	0.09364	0.07843
0	4	4.567	0.03172	1	0	0.8931	0	0.1153	0.02407	0.234	0.02081	0.1031	0.07841
0	5	3.679	0.02555	0.95	0.05	0.9147	0	0.07778	0.02315	0.2351	0.02246	0.1106	0.07863
0	6	2.978	0.02068	0.9	0.1	0.9323	0	0.0625	0.01944	0.236	0.02417	0.1166	0.07898
0	7	2.439	0.01694	0.9	0.1	0.944	0	0.05417	0.01435	0.2366	0.02594	0.1213	0.07936
0	8	2.094	0.01454	0.7	0.3	0.9525	0	0.04028	0.01296	0.237	0.02792	0.1244	0.07978
0	9	2.602	0.01807	0.95	0.05	0.9419	0	0.05	0.01759	0.2374	0.02992	0.1265	0.08014
0	10	1.579	0.01097	0.55	0.45	0.9639	0	0.03056	0.01019	0.2378	0.03197	0.1279	0.08058
0	11	1.349	0.009371	0.6	0.4	0.9684	0	0.02639	0.008796	0.2378	0.03401	0.1289	0.08103
0	12	1.436	0.00997	0.55	0.45	0.9666	0	0.02778	0.01019	0.2382	0.03598	0.1303	0.08143
0	13	0.989	0.006868	0.5	0.5	0.9768	0	0.01944	0.006481	0.2382	0.03802	0.1318	0.08179
0	14	0.668	0.004639	0.4	0.6	0.9832	0	0.01389	0.00463	0.2384	0.04011	0.1332	0.08212
0	15	1.174	0.008154	0.65	0.35	0.974	0	0.02361	0.00787	0.2385	0.04211	0.1342	0.08245
0	16	0.8728	0.006061	0.5	0.5	0.9806	0	0.01806	0.006481	0.2386	0.04412	0.135	0.08278
0	17	0.8996	0.006247	0.45	0.55	0.9794	0	0.01667	0.006481	0.2386	0.04614	0.1358	0.08298
0	18	0.6567	0.00456	0.4	0.6	0.9849	0	0.0125	0.005093	0.2388	0.04808	0.1357	0.08323
0	19	0.8663	0.006016	0.5	0.5	0.9808	0	0.01667	0.006019	0.2389	0.05004	0.1336	0.08347
0	20	0.6695	0.004649	0.35	0.65	0.9842	0	0.0125	0.004167	0.2389	0.05206	0.1314	0.08367
0	21	0.5829	0.004048	0.4	0.6	0.9857	0	0.01111	0.00463	0.239	0.05407	0.1301	0.08387
0	22	0.4323	0.003002	0.15	0.85	0.9895	0	0.006944	0.003704	0.239	0.05602	0.1288	0.08407
0	23	0.3252	0.002258	0.2	0.8	0.9919	0	0.006944	0.002778	0.2391	0.05804	0.128	0.08426
0	24	0.8182	0.005682	0.35	0.65	0.9817	0	0.01528	0.00463	0.2391	0.05963	0.1272	0.08442
0	25	0.5521	0.003834	0.3	0.7	0.9868	0	0.009722	0.003704	0.239	0.0613	0.1268	0.08454
0	26	0.4627	0.003213	0.25	0.75	0.9891	0	0.008333	0.003241	0.239	0.06287	0.1264	0.0847
0	27	0.4956	0.003442	0.15	0.85	0.9889	0	0.009722	0.003704	0.239	0.06435	0.126	0.08486
0	28	0.6054	0.004204	0.3	0.7	0.9862	0	0.01111	0.003704	0.239	0.06577	0.1258	0.08497
0	29	0.4434	0.003079	0.2	0.8	0.99	0	0.008333	0.002778	0.2391	0.06723	0.1259	0.08507
0	30	0.3687	0.00256	0.3	0.7	0.9915	0	0.006944	0.003241	0.2391	0.06856	0.1259	0.08515
0	31	0.664	0.004611	0.35	0.65	0.9858	0	0.0125	0.005093	0.2389	0.06982	0.1259	0.08526
0	32	0.2031	0.00141	0.25	0.75	0.9946	0	0.004167	0.001852	0.2389	0.07103	0.1261	0.08534
0	33	0.2969	0.002062	0.2	0.8	0.9928	0	0.005556	0.002315	0.239	0.07239	0.1259	0.08546
0	34	0.3872	0.002689	0.2	0.8	0.9908	0	0.006944	0.002778	0.239	0.07351	0.1257	0.08551
0	35	0.458	0.003181	0.2	0.8	0.9899	0	0.008333	0.003241	0.239	0.07454	0.1256	0.08559
0	36	0.4536	0.00315	0.3	0.7	0.9901	0	0.008333	0.003241	0.2389	0.07554	0.1253	0.08565
0	37	0.458	0.003181	0.25	0.75	0.9897	0	0.008333	0.003704	0.2389	0.07675	0.1252	0.08569
0	38	0.2802	0.001946	0.25	0.75	0.9937	0	0.005556	0.002315	0.239	0.07769	0.1253	0.08571
0	39	0.3987	0.002769	0.2	0.8	0.9909	0	0.008333	0.002778	0.2389	0.07853	0.1252	0.08576
0	40	0.3009	0.00209	0.15	0.85	0.9934	0	0.006944	0.001852	0.2389	0.07937	0.1251	0.08582
0	41	0.2428	0.001686	0.2	0.8	0.9937	0	0.004167	0.001852	0.239	0.08042	0.1249	0.08583
0	42	0.4413	0.003065	0.25	0.75	0.9902	0	0.008333	0.003241	0.239	0.08122	0.1242	0.08588
0	43	0.3059	0.002124	0.25	0.75	0.9922	0	0.008333	0.002778	0.239	0.08214	0.1223	0.08584
0	44	0.4954	0.00344	0.35	0.65	0.9895	0	0.009722	0.003704	0.2389	0.08307	0.1209	0.08588
0	45	0.4696	0.003261	0.35	0.65	0.9892	0	0.008333	0.003241	0.239	0.08392	0.1197	0.08589
0	46	0.3146	0.002185	0.2	0.8	0.9926	0	0.006944	0.002315	0.2391	0.08476	0.1193	0.08595
0	47	0.4848	0.003367	0.3	0.7	0.989	0	0.008333	0.003704	0.2392	0.0856	0.1188	0.08593
