|Run,$Params,#FirstZero,#SSE,#AvgSSE,#PctErr,#PctCor,#CosDiff,#AB Mem,#AB TrgOnWasOff,#AB TrgOffWasOn,#AC Mem,#AC TrgOnWasOff,#AC TrgOffWasOn,#Lure Mem,#Lure TrgOnWasOff,#Lure TrgOffWasOn
0,Base,-1,261.5,0.1816,1,0,0.6966,0,0.75,0.1176,0,0,0,0,0,0
1,Base,3,59.49,0.04131,1,0,0.9607,1,0.1556,0.03148,0,0,0,0,0,0
2,Base,3,65.63,0.04558,1,0,0.9737,1,0.1444,0.03426,0,0,0,0,0,0
3,Base,3,48.05,0.03337,0.8,0.2,0.9589,1,0.1444,0.02315,0,0,0,0,0,0
4,Base,-1,225.8,0.1568,1,0,0.799,0.1,0.6778,0.1111,0,0,0,0,0,0
5,Base,-1,286.7,0.1991,1,0,0.7342,0,0.8167,0.1315,0,0,0,0,0,0
6,Base,2,57.7,0.04007,0.9,0.1,0.9684,1,0.1167,0.02685,0,0,0,0,0,0
7,Base,5,42.79,0.02972,1,0,0.9815,1,0.1167,0.02315,0,0,0,0,0,0
8,Base,-1,269.7,0.1873,1,0,0.7664,0,0.7944,0.1278,0,0,0,0,0,0
9,Base,-1,250.5,0.174,1,0,0.7524,0,0.7833,0.1194,0,0,0,0,0,0
,,,,,,,,,,,,,,,,
,,1.1,,,,,,,,,,,,,,
,,2.330951165,,,,,,,,,,,,,,
