|Run,$Params,#FirstZero,#SSE,#AvgSSE,#PctErr,#PctCor,#CosDiff,#AB Mem,#AB TrgOnWasOff,#AB TrgOffWasOn,#AC Mem,#AC TrgOnWasOff,#AC TrgOffWasOn,#Lure Mem,#Lure TrgOnWasOff,#Lure TrgOffWasOn
0,Base,-1,182,0.1264,0.9,0.1,0.8332,0.3,0.5833,0.08611,0,0,0,0,0,0
1,Base,-1,233.5,0.1622,1,0,0.7675,0,0.7167,0.1028,0,0,0,0,0,0
2,Base,3,51.01,0.03543,0.9,0.1,0.9675,1,0.1167,0.02593,0,0,0,0,0,0
3,Base,-1,233.5,0.1622,0.9,0.1,0.744,0.1,0.7,0.1056,0,0,0,0,0,0
4,Base,-1,218.9,0.152,1,0,0.7594,0.2,0.6778,0.1009,0,0,0,0,0,0
5,Base,3,65.3,0.04535,1,0,0.9523,1,0.1333,0.03148,0,0,0,0,0,0
6,Base,3,59.58,0.04138,1,0,0.9736,1,0.1556,0.03056,0,0,0,0,0,0
7,Base,-1,156.3,0.1085,0.9,0.1,0.8451,0.3,0.4833,0.07407,0,0,0,0,0,0
8,Base,-1,247.5,0.1719,1,0,0.8108,0,0.7611,0.1167,0,0,0,0,0,0
9,Base,3,75.47,0.05241,0.9,0.1,0.9684,1,0.1889,0.03796,0,0,0,0,0,0
0,Base,-1,207.9,0.1444,1,0,0.8038,0.1,0.6944,0.08889,0,0,0,0,0,0
1,Base,3,43.93,0.03051,0.9,0.1,0.9792,1,0.08333,0.02407,0,0,0,0,0,0
2,Base,-1,225.8,0.1568,1,0,0.7949,0,0.7056,0.1065,0,0,0,0,0,0
3,Base,2,51.7,0.0359,0.9,0.1,0.9718,1,0.1333,0.025,0,0,0,0,0,0
4,Base,-1,190.4,0.1322,0.9,0.1,0.7935,0.2,0.5889,0.08796,0,0,0,0,0,0
5,Base,3,57.91,0.04021,1,0,0.9701,1,0.1222,0.0287,0,0,0,0,0,0
6,Base,-1,241.5,0.1677,1,0,0.7917,0.1,0.7444,0.1139,0,0,0,0,0,0
7,Base,2,68.88,0.04783,1,0,0.9566,1,0.1222,0.03889,0,0,0,0,0,0
8,Base,-1,199.9,0.1389,1,0,0.7747,0.1,0.5944,0.09444,0,0,0,0,0,0
9,Base,5,63.85,0.04434,1,0,0.9744,1,0.1889,0.03241,0,0,0,0,0,0
,,,,,,,,,,,,,,,,
,Avg,0.8,143.7415,0.099828,0.96,0.04,0.871625,0.52,0.4247165,0.0676435,,,,,,
,Std,2.117595459,,,,,,,,,,,,,,
,Cov,2.646994323,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,0,1,,,0,1,,,,,,,,
,,0,A,G,,0,J,G,,,,,,,,
,,1,B,H,,1,D,H,,,,,,,,
,,2,C,I,->,2,K,I,,,,,,,,
,,3,D,J,,3,E,A,,,,,,,,
,,4,E,K,,4,L,B,,,,,,,,
,,5,F,L,,5,F,C,,,,,,,,
