|Run,$Params,#FirstZero,#SSE,#AvgSSE,#PctErr,#PctCor,#CosDiff,#AB Mem,#AB TrgOnWasOff,#AB TrgOffWasOn,#AC Mem,#AC TrgOnWasOff,#AC TrgOffWasOn,#Lure Mem,#Lure TrgOnWasOff,#Lure TrgOffWasOn
0,Base,5,46.69,0.03243,1,0,0.9799,1,0.1222,0.025,0,0,0,0,0,0
1,Base,4,42.71,0.02966,0.8,0.2,0.9791,1,0.1111,0.02315,0,0,0,0,0,0
2,Base,4,57.61,0.04001,0.8,0.2,0.9722,1,0.15,0.02963,0,0,0,0,0,0
3,Base,4,58.55,0.04066,1,0,0.9767,1,0.15,0.03056,0,0,0,0,0,0
4,Base,9,39.17,0.0272,0.7,0.3,0.9905,1,0.1167,0.02037,0,0,0,0,0,0
5,Base,-1,118.9,0.08259,0.8,0.2,0.8935,0.5,0.35,0.05741,0,0,0,0,0,0
6,Base,2,82.13,0.05704,1,0,0.9638,1,0.1778,0.03981,0,0,0,0,0,0
7,Base,7,50.91,0.03535,0.9,0.1,0.9829,1,0.1278,0.02685,0,0,0,0,0,0
8,Base,5,57.28,0.03978,0.9,0.1,0.9787,1,0.1333,0.02963,0,0,0,0,0,0
9,Base,8,42.6,0.02959,0.9,0.1,0.9921,1,0.1389,0.02315,0,0,0,0,0,0
10,Base,9,32.76,0.02275,0.9,0.1,0.9928,1,0.07778,0.01852,0,0,0,0,0,0
11,Base,-1,146.8,0.1019,1,0,0.8532,0.5,0.4278,0.06759,0,0,0,0,0,0
12,Base,3,55.66,0.03866,1,0,0.9688,1,0.1333,0.02778,0,0,0,0,0,0
13,Base,8,43.13,0.02995,0.9,0.1,0.9797,1,0.1333,0.02315,0,0,0,0,0,0
14,Base,-1,168.3,0.1169,1,0,0.8322,0.3,0.4889,0.08056,0,0,0,0,0,0
15,Base,4,60.08,0.04172,1,0,0.9718,1,0.1722,0.03148,0,0,0,0,0,0
16,Base,2,122.6,0.08513,1,0,0.9266,1,0.2389,0.06204,0,0,0,0,0,0
17,Base,-1,84.45,0.05864,0.8,0.2,0.9502,0.6,0.2667,0.03889,0,0,0,0,0,0
18,Base,5,50.26,0.0349,0.9,0.1,0.9888,1,0.1444,0.025,0,0,0,0,0,0
19,Base,2,64.8,0.045,1,0,0.9564,1,0.15,0.03148,0,0,0,0,0,0
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Avg,3.85,71.2695,0.049493,0.915,0.085,0.956495,0.895,0.190554,0.0356025,0,0,0,0,,
,Std,3.297127937,,,,,,,,,,,,,,
,Cov,0.856396867,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,0,1,,,,,,,,,,,
,,,0,A,G,,,,,,,,,,,
,,,1,B,H,,,,,,,,,,,
,,,2,C,I,,,,,,,,,,,
,,,3,D,J,,,,,,,,,,,
,,,4,E,K,,,,,,,,,,,
,,,5,F,L,,,,,,,,,,,
