|Run,$Params,#FirstZero,#SSE,#AvgSSE,#PctErr,#PctCor,#CosDiff,#AB Mem,#AB TrgOnWasOff,#AB TrgOffWasOn,#AC Mem,#AC TrgOnWasOff,#AC TrgOffWasOn,#Lure Mem,#Lure TrgOnWasOff,#Lure TrgOffWasOn
0,Base,6,58.68,0.04075,0.9,0.1,0.9688,1,0.1444,0.03056,0,0,0,0,0,0
1,Base,8,54.43,0.0378,0.9,0.1,0.9896,1,0.1556,0.02778,0,0,0,0,0,0
2,Base,-1,118,0.08193,0.8,0.2,0.8934,0.6,0.3611,0.05833,0,0,0,0,0,0
3,Base,4,31.31,0.02174,0.8,0.2,0.9879,1,0.08333,0.01481,0,0,0,0,0,0
4,Base,-1,137.6,0.09553,0.7,0.3,0.8701,0.4,0.4111,0.06296,0,0,0,0,0,0
5,Base,-1,161.6,0.1122,1,0,0.8915,0.3,0.5167,0.07778,0,0,0,0,0,0
6,Base,3,54.57,0.03789,1,0,0.9523,1,0.1556,0.0287,0,0,0,0,0,0
7,Base,17,45.68,0.03172,0.7,0.3,0.9782,1,0.1222,0.02315,0,0,0,0,0,0
8,Base,5,50.29,0.03493,0.9,0.1,0.9858,1,0.1333,0.02593,0,0,0,0,0,0
9,Base,4,61.3,0.04257,1,0,0.9737,1,0.1833,0.03241,0,0,0,0,0,0
