|Run,$Params,#FirstZero,#SSE,#AvgSSE,#PctErr,#PctCor,#CosDiff,#AB Mem,#AB TrgOnWasOff,#AB TrgOffWasOn,#AC Mem,#AC TrgOnWasOff,#AC TrgOffWasOn,#Lure Mem,#Lure TrgOnWasOff,#Lure TrgOffWasOn
0,Base,-1,235.1,0.1633,1,0,0.7317,0,0.6944,0.1093,0,0,0,0,0,0
1,Base,-1,230.9,0.1603,1,0,0.7951,0,0.7333,0.1083,0,0,0,0,0,0
2,Base,-1,274.7,0.1908,1,0,0.6824,0,0.7944,0.1231,0,0,0,0,0,0
3,Base,3,71.29,0.0495,0.9,0.1,0.9629,1,0.1556,0.03889,0,0,0,0,0,0
4,Base,-1,221.9,0.1541,1,0,0.8178,0.1,0.6667,0.1009,0,0,0,0,0,0
5,Base,-1,217.5,0.151,1,0,0.7289,0.1,0.65,0.1028,0,0,0,0,0,0
6,Base,-1,214,0.1486,1,0,0.7921,0.2,0.6889,0.1009,0,0,0,0,0,0
7,Base,5,65.71,0.04563,1,0,0.9618,1,0.1778,0.03611,0,0,0,0,0,0
8,Base,-1,308.6,0.2143,1,0,0.7174,0,0.8722,0.1546,0,0,0,0,0,0
9,Base,-1,270.9,0.1881,1,0,0.6736,0,0.8111,0.1269,0,0,0,0,0,0
10,Base,-1,304.4,0.2114,1,0,0.6691,0,0.8611,0.1417,0,0,0,0,0,0
11,Base,2,70.81,0.04917,0.9,0.1,0.9461,1,0.1667,0.03611,0,0,0,0,0,0
12,Base,6,53.29,0.03701,0.9,0.1,0.9864,1,0.1444,0.02685,0,0,0,0,0,0
13,Base,-1,261.8,0.1818,1,0,0.73,0,0.8,0.1204,0,0,0,0,0,0
14,Base,5,49.75,0.03455,1,0,0.9788,1,0.1444,0.02593,0,0,0,0,0,0
15,Base,-1,267,0.1854,1,0,0.7316,0,0.7833,0.1259,0,0,0,0,0,0
16,Base,4,47.74,0.03315,0.9,0.1,0.9764,1,0.08333,0.02685,0,0,0,0,0,0
17,Base,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Base,-1,249,0.1729,1,0,0.7255,0,0.7944,0.1139,0,0,0,0,0,0
19,Base,3,47.22,0.03279,1,0,0.9884,1,0.1056,0.02593,0,0,0,0,0,0
,,,,,,,,,,,,,,,,
,Avg,0.684210526,173.0805,0.12019,0.93,0.02,0.7798,0.37,0.5063815,0.0822685,,,,,,
,Std,2.546411303,,,,,,,,,,,,,,
,Cov,3.721678059,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,0,1,,,,,,,,,,,,,
,0,A,G,,,,,,,,,,,,,
,1,B,H,,,,,,,,,,,,,
,2,C,I,,,,,,,,,,,,,
,3,D,J,,,,,,,,,,,,,
,4,E,K,,,,,,,,,,,,,
,5,F,L,,,,,,,,,,,,,
