$Name[1:0]<1:1>,"%Input[4:0,0,0,0]<4:6,2,3,4>","%Input[4:0,0,0,1]","%Input[4:0,0,0,2]","%Input[4:0,0,0,3]","%Input[4:0,0,1,0]","%Input[4:0,0,1,1]","%Input[4:0,0,1,2]","%Input[4:0,0,1,3]","%Input[4:0,0,2,0]","%Input[4:0,0,2,1]","%Input[4:0,0,2,2]","%Input[4:0,0,2,3]","%Input[4:0,1,0,0]","%Input[4:0,1,0,1]","%Input[4:0,1,0,2]","%Input[4:0,1,0,3]","%Input[4:0,1,1,0]","%Input[4:0,1,1,1]","%Input[4:0,1,1,2]","%Input[4:0,1,1,3]","%Input[4:0,1,2,0]","%Input[4:0,1,2,1]","%Input[4:0,1,2,2]","%Input[4:0,1,2,3]","%Input[4:1,0,0,0]","%Input[4:1,0,0,1]","%Input[4:1,0,0,2]","%Input[4:1,0,0,3]","%Input[4:1,0,1,0]","%Input[4:1,0,1,1]","%Input[4:1,0,1,2]","%Input[4:1,0,1,3]","%Input[4:1,0,2,0]","%Input[4:1,0,2,1]","%Input[4:1,0,2,2]","%Input[4:1,0,2,3]","%Input[4:1,1,0,0]","%Input[4:1,1,0,1]","%Input[4:1,1,0,2]","%Input[4:1,1,0,3]","%Input[4:1,1,1,0]","%Input[4:1,1,1,1]","%Input[4:1,1,1,2]","%Input[4:1,1,1,3]","%Input[4:1,1,2,0]","%Input[4:1,1,2,1]","%Input[4:1,1,2,2]","%Input[4:1,1,2,3]","%Input[4:2,0,0,0]","%Input[4:2,0,0,1]","%Input[4:2,0,0,2]","%Input[4:2,0,0,3]","%Input[4:2,0,1,0]","%Input[4:2,0,1,1]","%Input[4:2,0,1,2]","%Input[4:2,0,1,3]","%Input[4:2,0,2,0]","%Input[4:2,0,2,1]","%Input[4:2,0,2,2]","%Input[4:2,0,2,3]","%Input[4:2,1,0,0]","%Input[4:2,1,0,1]","%Input[4:2,1,0,2]","%Input[4:2,1,0,3]","%Input[4:2,1,1,0]","%Input[4:2,1,1,1]","%Input[4:2,1,1,2]","%Input[4:2,1,1,3]","%Input[4:2,1,2,0]","%Input[4:2,1,2,1]","%Input[4:2,1,2,2]","%Input[4:2,1,2,3]","%Input[4:3,0,0,0]","%Input[4:3,0,0,1]","%Input[4:3,0,0,2]","%Input[4:3,0,0,3]","%Input[4:3,0,1,0]","%Input[4:3,0,1,1]","%Input[4:3,0,1,2]","%Input[4:3,0,1,3]","%Input[4:3,0,2,0]","%Input[4:3,0,2,1]","%Input[4:3,0,2,2]","%Input[4:3,0,2,3]","%Input[4:3,1,0,0]","%Input[4:3,1,0,1]","%Input[4:3,1,0,2]","%Input[4:3,1,0,3]","%Input[4:3,1,1,0]","%Input[4:3,1,1,1]","%Input[4:3,1,1,2]","%Input[4:3,1,1,3]","%Input[4:3,1,2,0]","%Input[4:3,1,2,1]","%Input[4:3,1,2,2]","%Input[4:3,1,2,3]","%Input[4:4,0,0,0]","%Input[4:4,0,0,1]","%Input[4:4,0,0,2]","%Input[4:4,0,0,3]","%Input[4:4,0,1,0]","%Input[4:4,0,1,1]","%Input[4:4,0,1,2]","%Input[4:4,0,1,3]","%Input[4:4,0,2,0]","%Input[4:4,0,2,1]","%Input[4:4,0,2,2]","%Input[4:4,0,2,3]","%Input[4:4,1,0,0]","%Input[4:4,1,0,1]","%Input[4:4,1,0,2]","%Input[4:4,1,0,3]","%Input[4:4,1,1,0]","%Input[4:4,1,1,1]","%Input[4:4,1,1,2]","%Input[4:4,1,1,3]","%Input[4:4,1,2,0]","%Input[4:4,1,2,1]","%Input[4:4,1,2,2]","%Input[4:4,1,2,3]","%Input[4:5,0,0,0]","%Input[4:5,0,0,1]","%Input[4:5,0,0,2]","%Input[4:5,0,0,3]","%Input[4:5,0,1,0]","%Input[4:5,0,1,1]","%Input[4:5,0,1,2]","%Input[4:5,0,1,3]","%Input[4:5,0,2,0]","%Input[4:5,0,2,1]","%Input[4:5,0,2,2]","%Input[4:5,0,2,3]","%Input[4:5,1,0,0]","%Input[4:5,1,0,1]","%Input[4:5,1,0,2]","%Input[4:5,1,0,3]","%Input[4:5,1,1,0]","%Input[4:5,1,1,1]","%Input[4:5,1,1,2]","%Input[4:5,1,1,3]","%Input[4:5,1,2,0]","%Input[4:5,1,2,1]","%Input[4:5,1,2,2]","%Input[4:5,1,2,3]","%ECout[4:0,0,0,0]<4:6,2,3,4>","%ECout[4:0,0,0,1]","%ECout[4:0,0,0,2]","%ECout[4:0,0,0,3]","%ECout[4:0,0,1,0]","%ECout[4:0,0,1,1]","%ECout[4:0,0,1,2]","%ECout[4:0,0,1,3]","%ECout[4:0,0,2,0]","%ECout[4:0,0,2,1]","%ECout[4:0,0,2,2]","%ECout[4:0,0,2,3]","%ECout[4:0,1,0,0]","%ECout[4:0,1,0,1]","%ECout[4:0,1,0,2]","%ECout[4:0,1,0,3]","%ECout[4:0,1,1,0]","%ECout[4:0,1,1,1]","%ECout[4:0,1,1,2]","%ECout[4:0,1,1,3]","%ECout[4:0,1,2,0]","%ECout[4:0,1,2,1]","%ECout[4:0,1,2,2]","%ECout[4:0,1,2,3]","%ECout[4:1,0,0,0]","%ECout[4:1,0,0,1]","%ECout[4:1,0,0,2]","%ECout[4:1,0,0,3]","%ECout[4:1,0,1,0]","%ECout[4:1,0,1,1]","%ECout[4:1,0,1,2]","%ECout[4:1,0,1,3]","%ECout[4:1,0,2,0]","%ECout[4:1,0,2,1]","%ECout[4:1,0,2,2]","%ECout[4:1,0,2,3]","%ECout[4:1,1,0,0]","%ECout[4:1,1,0,1]","%ECout[4:1,1,0,2]","%ECout[4:1,1,0,3]","%ECout[4:1,1,1,0]","%ECout[4:1,1,1,1]","%ECout[4:1,1,1,2]","%ECout[4:1,1,1,3]","%ECout[4:1,1,2,0]","%ECout[4:1,1,2,1]","%ECout[4:1,1,2,2]","%ECout[4:1,1,2,3]","%ECout[4:2,0,0,0]","%ECout[4:2,0,0,1]","%ECout[4:2,0,0,2]","%ECout[4:2,0,0,3]","%ECout[4:2,0,1,0]","%ECout[4:2,0,1,1]","%ECout[4:2,0,1,2]","%ECout[4:2,0,1,3]","%ECout[4:2,0,2,0]","%ECout[4:2,0,2,1]","%ECout[4:2,0,2,2]","%ECout[4:2,0,2,3]","%ECout[4:2,1,0,0]","%ECout[4:2,1,0,1]","%ECout[4:2,1,0,2]","%ECout[4:2,1,0,3]","%ECout[4:2,1,1,0]","%ECout[4:2,1,1,1]","%ECout[4:2,1,1,2]","%ECout[4:2,1,1,3]","%ECout[4:2,1,2,0]","%ECout[4:2,1,2,1]","%ECout[4:2,1,2,2]","%ECout[4:2,1,2,3]","%ECout[4:3,0,0,0]","%ECout[4:3,0,0,1]","%ECout[4:3,0,0,2]","%ECout[4:3,0,0,3]","%ECout[4:3,0,1,0]","%ECout[4:3,0,1,1]","%ECout[4:3,0,1,2]","%ECout[4:3,0,1,3]","%ECout[4:3,0,2,0]","%ECout[4:3,0,2,1]","%ECout[4:3,0,2,2]","%ECout[4:3,0,2,3]","%ECout[4:3,1,0,0]","%ECout[4:3,1,0,1]","%ECout[4:3,1,0,2]","%ECout[4:3,1,0,3]","%ECout[4:3,1,1,0]","%ECout[4:3,1,1,1]","%ECout[4:3,1,1,2]","%ECout[4:3,1,1,3]","%ECout[4:3,1,2,0]","%ECout[4:3,1,2,1]","%ECout[4:3,1,2,2]","%ECout[4:3,1,2,3]","%ECout[4:4,0,0,0]","%ECout[4:4,0,0,1]","%ECout[4:4,0,0,2]","%ECout[4:4,0,0,3]","%ECout[4:4,0,1,0]","%ECout[4:4,0,1,1]","%ECout[4:4,0,1,2]","%ECout[4:4,0,1,3]","%ECout[4:4,0,2,0]","%ECout[4:4,0,2,1]","%ECout[4:4,0,2,2]","%ECout[4:4,0,2,3]","%ECout[4:4,1,0,0]","%ECout[4:4,1,0,1]","%ECout[4:4,1,0,2]","%ECout[4:4,1,0,3]","%ECout[4:4,1,1,0]","%ECout[4:4,1,1,1]","%ECout[4:4,1,1,2]","%ECout[4:4,1,1,3]","%ECout[4:4,1,2,0]","%ECout[4:4,1,2,1]","%ECout[4:4,1,2,2]","%ECout[4:4,1,2,3]","%ECout[4:5,0,0,0]","%ECout[4:5,0,0,1]","%ECout[4:5,0,0,2]","%ECout[4:5,0,0,3]","%ECout[4:5,0,1,0]","%ECout[4:5,0,1,1]","%ECout[4:5,0,1,2]","%ECout[4:5,0,1,3]","%ECout[4:5,0,2,0]","%ECout[4:5,0,2,1]","%ECout[4:5,0,2,2]","%ECout[4:5,0,2,3]","%ECout[4:5,1,0,0]","%ECout[4:5,1,0,1]","%ECout[4:5,1,0,2]","%ECout[4:5,1,0,3]","%ECout[4:5,1,1,0]","%ECout[4:5,1,1,1]","%ECout[4:5,1,1,2]","%ECout[4:5,1,1,3]","%ECout[4:5,1,2,0]","%ECout[4:5,1,2,1]","%ECout[4:5,1,2,2]","%ECout[4:5,1,2,3]"
TrainAB-Me0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0
TrainAB-Me1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0
TrainAB-Me2,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1
TrainAB-Me3,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
TrainAB-Me4,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
TrainAB-Me5,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1
TrainAB-Me6,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
TrainAB-Me7,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1
TrainAB-Me8,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0
TrainAB-Me9,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1
